POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.40,0.71,0.29,0.00,26.00,8.00,34.00,29.00						
2	,1.00,0.26,0.27,0.06,0.00,39.00,13.00,52.00,42.00						
3	,0.92,0.27,1.00,0.13,1.00,32.00,6.00,39.00,33.00						
4	,1.00,0.23,1.00,0.09,0.00,37.00,8.00,45.00,37.00						
5	,1.00,0.40,0.89,0.20,0.00,25.00,8.00,33.00,26.00						
6	,1.00,0.29,1.00,0.17,0.00,29.00,5.00,34.00,29.00						
7	,1.00,0.25,0.86,0.10,0.00,50.00,8.00,58.00,50.00						
8	,1.00,0.37,0.64,0.17,0.00,27.00,10.00,37.00,29.00						
9	,1.00,0.37,0.57,0.11,0.00,26.00,11.00,37.00,26.00						
10	,1.00,0.29,1.00,0.20,0.00,37.00,5.00,42.00,37.00						
avg	,0.99,0.31,0.79,0.15,0.10,32.80,8.20,41.10,33.80						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.42,0.83,0.24,0.00,25.00,10.00,35.00,25.00						
2	,1.00,0.26,0.27,0.06,0.00,39.00,13.00,52.00,42.00						
3	,0.89,0.39,0.90,0.20,2.00,27.00,5.00,34.00,30.00						
4	,1.00,0.27,1.00,0.09,0.00,35.00,10.00,45.00,35.00						
5	,1.00,0.40,0.89,0.20,0.00,25.00,8.00,33.00,26.00						
6	,1.00,0.39,1.00,0.17,0.00,25.00,7.00,32.00,25.00						
7	,1.00,0.25,0.86,0.10,0.00,50.00,8.00,58.00,50.00						
8	,1.00,0.42,0.91,0.24,0.00,25.00,7.00,32.00,26.00						
9	,0.94,0.39,0.45,0.14,1.00,25.00,10.00,36.00,28.00						
10	,1.00,0.35,1.00,0.25,0.00,34.00,6.00,40.00,34.00						
avg	,0.98,0.35,0.81,0.17,0.30,31.00,8.40,39.70,32.10						

