POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.29,0.00,0.00,0.00,15.00,5.00,20.00,17.00						
2	,1.00,0.38,1.00,0.25,0.00,10.00,4.00,14.00,10.00						
3	,1.00,0.41,0.00,0.00,0.00,10.00,5.00,15.00,10.00						
4	,1.00,0.19,0.33,0.08,0.00,17.00,3.00,20.00,17.00						
5	,1.00,0.32,0.75,0.11,0.00,17.00,5.00,22.00,17.00						
6	,1.00,0.35,0.00,0.00,0.00,13.00,6.00,19.00,13.00						
7	,1.00,0.53,0.71,0.36,0.00,7.00,5.00,12.00,7.00						
8	,1.00,0.30,0.75,0.17,0.00,14.00,4.00,18.00,14.00						
9	,1.00,0.35,0.50,0.12,0.00,13.00,6.00,19.00,14.00						
10	,1.00,0.30,0.50,0.16,0.00,14.00,3.00,17.00,16.00						
avg	,1.00,0.34,0.45,0.12,0.00,13.00,4.60,17.60,13.50						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.33,0.00,0.00,0.00,14.00,6.00,20.00,16.00						
2	,1.00,0.38,1.00,0.25,0.00,10.00,4.00,14.00,10.00						
3	,1.00,0.41,0.00,0.00,0.00,10.00,5.00,15.00,10.00						
4	,1.00,0.38,0.25,0.08,0.00,13.00,6.00,19.00,13.00						
5	,1.00,0.36,0.80,0.15,0.00,16.00,5.00,21.00,16.00						
6	,1.00,0.35,0.00,0.00,0.00,13.00,6.00,19.00,13.00						
7	,1.00,0.60,0.71,0.36,0.00,6.00,5.00,11.00,7.00						
8	,1.00,0.30,0.75,0.17,0.00,14.00,4.00,18.00,14.00						
9	,1.00,0.35,0.50,0.12,0.00,13.00,6.00,19.00,14.00						
10	,1.00,0.45,1.00,0.11,0.00,11.00,7.00,18.00,11.00						
avg	,1.00,0.39,0.50,0.12,0.00,12.00,5.40,17.40,12.40						

